metodo;sampling;eta;max_depth;gamma;colsample_bytree;min_child_weight;subsample;nrounds;MCC;logLoss;AUC;prAUC;Accuracy;Kappa;F1;Sensitivity;Specificity;Pos_Pred_Value;Neg_Pred_Value;Precision;Recall;Detection_Rate;Balanced_Accuracy
xgbTree;rose;0,3;1;0;0,6;1;0,50;100;0,22129957319878962;0,412771670425801;0,718655142391661;0,595481733307265;0,820554446767815;0,219559357764622737;0,896581398141081;0,882510963487866;0,359363777797290562;0,911160568914551;0,291441287711859;0,911160568914551;0,882510963487866;0,777993450243545;0,620937370642578
xgbTree;rose;0,3;1;0;0,6;1;0,75;100;0,22196236120583945;0,421964090318327;0,717369133328282;0,596167959108068;0,817210451403167;0,219495608647978513;0,894301878685863;0,877434371647002;0,368916116743554567;0,911917054553596;0,288287588987771;0,911917054553596;0,877434371647002;0,773518049869729;0,623175244195278
xgbTree;rose;0,3;1;0;0,6;1;1,00;100;0,22918906106452011;0,429489452482266;0,717675761594769;0,594660866857635;0,809543025966889;0,224655343114489842;0,888924511762731;0,864602102958329;0,399694474651752896;0,914693795873715;0,284118038004646;0,914693795873715;0,864602102958329;0,762205478683546;0,632148288805041
xgbTree;rose;0,3;1;0;0,8;1;0,50;100;0,22261789341714774;0,412841221517438;0,718270931088688;0,594683903947637;0,820855622444656;0,220801488197859497;0,896745494881943;0,882709990989482;0,360425574070196486;0,911317004831328;0,292738432812620;0,911317004831328;0,882709990989482;0,778168808216704;0,621567782529839
xgbTree;rose;0,3;1;0;0,8;1;0,75;100;0,22777237301466599;0,422372547802427;0,716822028959271;0,593534764590340;0,813615594829448;0,224337479087866498;0,891742725445933;0,870904297615683;0,387171312588229732;0,913639105060647;0,287461335343311;0,913639105060647;0,870904297615683;0,767761268124687;0,629037805101956
xgbTree;rose;0,3;1;0;0,8;1;1,00;100;0,23134240319915314;0,427794657338980;0,717838727611813;0,593876713981408;0,811152260139383;0,226896188542550226;0,889963921644327;0,866456051251269;0,399479008359731880;0,914862050579990;0,286517227495865;0,914862050579990;0,866456051251269;0,763839996468014;0,632967529805501
xgbTree;rose;0,4;1;0;0,6;1;0,50;100;0,20805882191377267;0,389190703762601;0,719573375750514;0,599018807596827;0,836693649354035;0,207627715373321003;0,907532644232501;0,909430569510182;0,295259291280257019;0,905722788513089;0,306235125676713;0,905722788513089;0,909430569510182;0,801724770937834;0,602344930395220
xgbTree;rose;0,4;1;0;0,6;1;0,75;100;0,21729738403603574;0,399532574334506;0,718284651037515;0,597021786636379;0,825607012826070;0,216435042885707918;0,900050839526913;0,890837399979532;0,340046785679709473;0,909502321412902;0,295156640753192;0,909502321412902;0,890837399979532;0,785333651734840;0,615442092829621
xgbTree;rose;0,4;1;0;0,6;1;1,00;100;0,21769076700692780;0,405961487009596;0,719140422182599;0,596677390871276;0,825858379644402;0,216931350208489970;0,900216547007746;0,891151078706696;0,339838524112186569;0,909492036309974;0,295740216114072;0,909492036309974;0,891151078706696;0,785610074666396;0,615494801409441
xgbTree;rose;0,4;1;0;0,8;1;0,50;100;0,21072927626351654;0,391528912224369;0,718971377229126;0,598613186230366;0,832696441552583;0,210579763253775309;0,904878419475623;0,902814533488278;0,310757103970928927;0,906980899882856;0,301076545524935;0,906980899882856;0,902814533488278;0,795892283677433;0,606785818729603
xgbTree;rose;0,4;1;0;0,8;1;0,75;100;0,21965872632097427;0,399277756166867;0,719982300675008;0,598250416961447;0,826386260990693;0,218787894562524454;0,900515668292911;0,891550203050744;0,341322021915871299;0,909725147767495;0,297676169038797;0,909725147767495;0,891550203050744;0,785961997660304;0,616436112483308
xgbTree;rose;0,4;1;0;0,8;1;1,00;100;0,21825732193244829;0,405565388651010;0,718178213165706;0,597335680545257;0,824903198408651;0,217299226351315683;0,899562363102298;0,889611305184949;0,343230373317302828;0,909781499310319;0,294942243109178;0,909781499310319;0,889611305184949;0,784252766567022;0,616420839251126
xgbTree;rose;0,3;2;0;0,6;1;0,50;100;0,15336129387440997;0,344210971487392;0,723923910193473;0,604887139145171;0,874905992207999;0,120923908126834997;0,932347991008518;0,978071210860957;0,106967418884933788;0,890803209771683;0,400638675699616;0,890803209771683;0,978071210860957;0,862236226651164;0,542519314872945
xgbTree;rose;0,3;2;0;0,6;1;0,75;100;0,15851200964059001;0,349899349100151;0,723182175930979;0,603801656762024;0,872592731895797;0,131800011486506136;0,930914225526754;0,973792737598279;0,119294477353524567;0,891673656526019;0,380409296566724;0,891673656526019;0,973792737598279;0,858464217305788;0,546543607475902
xgbTree;rose;0,3;2;0;0,6;1;1,00;100;0,17392748319815415;0,355644256764211;0,722949181483408;0,603150334541371;0,868294199894783;0,155906029491454934;0,928106266162290;0,964411215457903;0,152823914281790291;0,894465957587435;0,364888862727783;0,894465957587435;0,964411215457903;0,850194010742396;0,558617564869847
xgbTree;rose;0,3;2;0;0,8;1;0,50;100;0,14894383372064621;0,343949394223109;0,724268506503097;0,605739165087952;0,874352568146431;0,117771404803339128;0,932076408773054;0,977984956123076;0,102949659239046004;0,890307735449842;0,387527799673623;0,890307735449842;0,977984956123076;0,862159892385161;0,540467307681061
xgbTree;rose;0,3;2;0;0,8;1;0,75;100;0,16139872497609595;0,352495784048299;0,724436251655637;0,604172636103048;0,869601424223321;0,139655819962309857;0,929047031594833;0,968517679354782;0,133296409120280623;0,892695441270291;0,365375677894413;0,892695441270291;0,968517679354782;0,853814046691454;0,550907044237531
xgbTree;rose;0,3;2;0;0,8;1;1,00;100;0,16763266829064777;0,356233498904388;0,723173101046008;0,603468314342456;0,869777000247622;0,144437774264363022;0,929091698315189;0,968175067436576;0,137338259563708903;0,893110091930783;0,376626885265017;0,893110091930783;0,968175067436576;0,853511742990709;0,552756663500142
xgbTree;rose;0,4;2;0;0,6;1;0,50;100;0,09512430572640544;0,332042026983598;0,722698126367954;0,603134491683133;0,879832993350522;0,049868274446539976;0,935769281651015;0,992984676996662;0,037574439438661900;0,884799138764148;0,426441766356770;0,884799138764148;0,992984676996662;0,875383164149182;0,515279558217662
xgbTree;rose;0,4;2;0;0,6;1;0,75;100;0,10669012933924962;0,336025901040699;0,723107638290601;0,604907474402040;0,879456011070623;0,059789497293781697;0,935490599109919;0,991502025790955;0,045421285007643759;0,885477449677386;0,433265292685552;0,885477449677386;0,991502025790955;0,874076233685376;0,518461655399300
xgbTree;rose;0,4;2;0;0,6;1;1,00;100;0,13132464237543970;0,341383474296629;0,724055529096146;0,604675598802870;0,876765948597851;0,092740072254717282;0,933688886575244;0,984258526600422;0,076627423432916134;0,888086360524603;0,402497000142401;0,888086360524603;0,984258526600422;0,867690524588843;0,530442975016669
xgbTree;rose;0,4;2;0;0,8;1;0,50;100;0,08860228063090425;0,332322399001707;0,723609914093217;0,604621008798132;0,879355420112171;0,049073531561839606;0,935497939798346;0,992414580100153;0,037777747758092367;0,884762751782154;0,382267980275614;0,884762751782154;0,992414580100153;0,874880718063489;0,515096163929123
xgbTree;rose;0,4;2;0;0,8;1;0,75;100;0,10597567129535167;0,336357225520764;0,723675563547761;0,604839582794189;0,879456011076978;0,059097733281089006;0,935496198862993;0,991587589319944;0,044785468070687354;0,885416772174190;0,430109689836156;0,885416772174190;0,991587589319944;0,874151623196536;0,518186528695316
xgbTree;rose;0,4;2;0;0,8;1;1,00;100;0,11295229340374861;0,341086140549434;0,723606306805346;0,603486944960522;0,876514698692129;0,076273530912377804;0,933655373229850;0,985713045604214;0,063674679671194390;0,886841962302084;0,380217778288467;0,886841962302084;0,985713045604214;0,868972913967699;0,524693862637704
xgbTree;rose;0,3;3;0;0,6;1;0,50;100;0,08616878176728894;0,329593106120044;0,725289543180987;0,606849254384497;0,880863778949597;0,039047802876327649;0,936433882309760;0,995437313838640;0,028014445472618669;0,884039382090690;0,455801234712842;0,884039382090690;0,995437313838640;0,877545449532156;0,511725879655630
xgbTree;rose;0,3;3;0;0,6;1;0,75;100;0,08760664710120211;0,331299839497716;0,724645547479414;0,605843383632240;0,879933663304861;0,043058490282174657;0,935873498680558;0,993840413934918;0,032050667225032817;0,884296539355596;0,413566587479631;0,884296539355596;0,993840413934918;0,876137637425875;0,512945540579975
xgbTree;rose;0,3;3;0;0,6;1;1,00;100;0,11026284353820702;0,334868981041915;0,726308538423059;0,606075991143846;0,878500668692572;0,068334472536864338;0,934881372588956;0,989334642726931;0,053489901002582448;0,886113219594557;0,399907658728249;0,886113219594557;0,989334642726931;0,872165492050615;0,521412271864757
