result_date;testes;positivos;pos_diaria;pos_acumulada
2020-10-23;625;107;0.1712;0.1757527453909408
2020-10-24;305;36;0.1180327868852459;0.1756688493027955
2020-10-25;363;69;0.19008264462809918;0.17569374075289843
2020-10-26;925;177;0.19135135135135134;0.17576234097174198
2020-10-27;1259;252;0.20015885623510724;0.1759069614144125
2020-10-28;666;118;0.17717717717717718;0.17591093212423317
2020-10-29;673;103;0.15304606240713226;0.1758389324549419
2020-10-30;415;68;0.163855421686747;0.17581570848841174
2020-10-31;399;77;0.19298245614035087;0.1758476353839413
2020-11-01;171;19;0.1111111111111111;0.17579607748161466
2020-11-02;204;16;0.0784313725490196;0.17570365682857714
2020-11-03;1301;300;0.23059185242121444;0.1760339293477758
2020-11-04;782;158;0.2020460358056266;0.1761276705561393
2020-11-05;634;89;0.14037854889589904;0.17602352616826725
2020-11-06;474;85;0.17932489451476794;0.1760307009500055
2020-11-07;609;110;0.180623973727422;0.17604349078472703
2020-11-08;321;62;0.19314641744548286;0.17606855556671566
2020-11-09;947;209;0.22069693769799367;0.17626067705847323
2020-11-10;651;116;0.1781874039938556;0.17626636208709526
2020-11-11;657;96;0.1461187214611872;0.1761768547013182
2020-11-12;842;162;0.19239904988123516;0.17623834584096773
2020-11-13;721;135;0.18723994452149792;0.17627393965501767
2020-11-14;53;9;0.16981132075471697;0.1762724030416545
2020-11-15;150;37;0.24666666666666667;0.17631974176772544
2020-11-16;754;128;0.16976127320954906;0.17629764665406664
2020-11-17;391;37;0.09462915601023018;0.17615521855486174
2020-11-18;305;56;0.18360655737704917;0.1761653415291419
2020-11-19;209;18;0.0861244019138756;0.1760815970522531
2020-11-20;142;14;0.09859154929577464;0.1760326609029779
2020-11-21;97;16;0.16494845360824742;0.17602788137966596
2020-11-22;38;2;0.05263157894736842;0.17600704028161127
2020-11-23;167;20;0.11976047904191617;0.17596532212934918
2020-11-24;126;9;0.07142857142857142;0.17590685534702863
